MATH201,Discrete Mathematics,,,,,,,,,,
CSCI300,Introduction to Algorithms,CSCI200,MATH201,,,,,,,,
CSCI350,Operating Systems,CSCI300,,,,,,,,,
CSCI101,Introduction to Programming in C++,CSCI100,,,,,,,,,
CSCI100,Introduction to Computer Science,,,,,,,,,,
CSCI301,Advanced Programming in C++,CSCI101,,,,,,,,,
CSCI400,Large Software Development,CSCI301,CSCI350,,,,,,,,
CSCI200,Data Structures,CSCI101,,,,,,,,,
,HARD CLASS,TEST101,,,,,,,,,
TEST102,,TEST101,,,,,,,,,
TEST200,HARD MF CLASS,TEST 101,TEST102,TEST103,CSCI200,CSCI400,CSCI301,CSCI100,CSCI101,CSCI350,TEST800
